glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
dad-ar,uni0636,0636,891,,
dad-ar.fina,uni0636.fina,,892,,
dad-ar.medi,uni0636.medi,,893,,
dad-ar.init,uni0636.init,,894,,
dad-ar.alt,uni0636.alt,,897,,
dad-ar.fina.alt,uni0636.fina.alt,,898,,
dad-ar.medi.flat,uni0636.medi.flat,,899,,
dad-ar.init.flat,uni0636.init.flat,,900,,
tah-ar,uni0637,0637,907,,
tah-ar.fina,uni0637.fina,,908,,
tah-ar.medi,uni0637.medi,,909,,
tah-ar.init,uni0637.init,,910,,
tahThreedots-ar,uni069F,069F,911,,
tahThreedots-ar.fina,uni069F.fina,,912,,
tahThreedots-ar.medi,uni069F.medi,,913,,
tahThreedots-ar.init,uni069F.init,,914,,
tahThreedots-ar.ss09,uni069F.ss09,,919,ha,ss09
tahThreedots-ar.fina.ss09,uni069F.fina.ss09,,920,ha,ss09
tahThreedots-ar.medi.ss09,uni069F.medi.ss09,,921,ha,ss09
tahThreedots-ar.init.ss09,uni069F.init.ss09,,922,ha,ss09
zah-ar,uni0638,0638,931,,
zah-ar.fina,uni0638.fina,,932,,
zah-ar.medi,uni0638.medi,,933,,
zah-ar.init,uni0638.init,,934,,
tahTwodotsabove-ar,uni08A3,08A3,935,,
tahTwodotsabove-ar.fina,uni08A3.fina,,936,,
tahTwodotsabove-ar.medi,uni08A3.medi,,937,,
tahTwodotsabove-ar.init,uni08A3.init,,938,,
ain-ar,uni0639,0639,943,,
ain-ar.fina,uni0639.fina,,944,,
ain-ar.medi,uni0639.medi,,945,,
ain-ar.init,uni0639.init,,946,,
ain-ar.medi.flat,uni0639.medi.flat,,947,,
ain-ar.fina.low,uni0639.fina.low,,949,,
ainThreedots-ar,uni06A0,06A0,950,,
ainThreedots-ar.fina,uni06A0.fina,,951,,
ainThreedots-ar.medi,uni06A0.medi,,952,,
ainThreedots-ar.init,uni06A0.init,,953,,
ainThreedots-ar.medi.flat,uni06A0.medi.flat,,954,,
ainThreedots-ar.fina.low,uni06A0.fina.low,,962,,
ainTwodotshorizontalabove-ar,uni075D,075D,964,,
ainTwodotshorizontalabove-ar.fina,uni075D.fina,,965,,
ainTwodotshorizontalabove-ar.medi,uni075D.medi,,966,,
ainTwodotshorizontalabove-ar.init,uni075D.init,,967,,
ainTwodotshorizontalabove-ar.medi.flat,uni075D.medi.flat,,968,,
ainTwodotshorizontalabove-ar.fina.low,uni075D.fina.low,,970,,
ghain-ar,uni063A,063A,983,,
ghain-ar.fina,uni063A.fina,,984,,
ghain-ar.medi,uni063A.medi,,985,,
ghain-ar.init,uni063A.init,,986,,
ghain-ar.medi.flat,uni063A.medi.flat,,987,,
ghain-ar.fina.low,uni063A.fina.low,,989,,
ghainThreedotsabove-ar,uni08C3,08C3,990,,
ghainThreedotsabove-ar.fina,uni08C3.fina,,991,,
ghainThreedotsabove-ar.medi,uni08C3.medi,,992,,
ghainThreedotsabove-ar.init,uni08C3.init,,993,,
ghainThreedotsabove-ar.ss09,uni08C3.ss09,,994,ha,ss09
ghainThreedotsabove-ar.medi.flat,uni08C3.medi.flat,,995,,
ghainThreedotsabove-ar.fina.ss09,uni08C3.fina.ss09,,996,ha,ss09
